Key,English,Vietnamese
settings,Settings,Cài đặt
sound,Sound,Âm thanh
music,Music,Nhạc nền
vibrate,Vibrate,Rung
giftcode,Gift Code,Mã quà tặng
join,Join Us,Tham gia
login_google,Login With Google,Đăng nhập Google
logout,Logout,Đăng xuất
confirm_title,Confirm Logout,Xác nhận đăng xuất
confirm_msg,"Are you sure you want to logout?\nCurrent data will be replaced with a new account.","Bạn có chắc chắn muốn đăng xuất không?\nDữ liệu hiện tại sẽ được thay bằng tài khoản mới."
confirm_ok,OK,Đồng ý
confirm_cancel,Cancel,Thoát
play,Play,Chơi
home,Home,Trang chủ
shop,Shop,Cửa hàng
ranking, Ranking, Xếp hạng
daily_reward_title,Daily Reward,Quà đăng nhập hàng ngày
daily_reward_subtitle,Login every day to receive rewards!,Đăng nhập mỗi ngày để nhận thưởng!
daily_reward_day_n,Day {0},Ngày {0}
daily_reward_received,+{0} {1},+{0} {1}
daily_reward_claimed,Claimed,Đã nhận
daily_reward_claim,Claim,Nhận
